element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ti,1,"=""4000.242""","=""0.019""","=""4000.243""","=""0.011""","=""8""","=""""",,"=""33700.884""","=""36200.732""","=""3d3.(4F).4p""","=""w 3F*""","=""4""","=""3d4""","=""b 3G""","=""5""",,"=""""","=""L10989""",
Mg,5,"=""""","=""""","=""4000.5""","=""1.0""","=""""","=""9.03e-07""",B,"=""283212.3""","=""285712.0""","=""2s.2p5""","=""3P*""","=""2""","=""2s.2p5""","=""3P*""","=""0""",E2,"=""T6146""","=""""",
Si,1,"=""""","=""""","=""4000.7""","=""1.0""","=""""","=""5.95e+04""",D,"=""56690.903""","=""59190.46""","=""3s2.3p.4d""","=""3P*""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",,"=""T6066LS'""","=""""",
C,1,"=""4001.0097""","=""0.0006""","=""4001.0097""","=""0.0006""","=""7900""","=""3.4e+06""",B,"=""83986.22212""","=""86485.5912""","=""2s2.2p.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","=""2s2.2p.(2P*<3/2>).5g""","=""2[9/2]*""","=""4""",,"=""T9787""","=""L12175c183""",
C,1,"=""4001.4400""","=""0.0005""","=""4001.4400""","=""0.0005""","=""8900""","=""3.5e+06""",B,"=""83986.4926""","=""86485.5929""","=""2s2.2p.(2P*<3/2>).4f""","=""2[7/2]""","=""4""","=""2s2.2p.(2P*<3/2>).5g""","=""2[9/2]*""","=""5""",,"=""T9787""","=""L12175c183""",
V,4,"=""""","=""""","=""4001.6""","=""1.0""","=""""","=""9.3e-03""",E,"=""10959.3""","=""13458.3""","=""3p6.3d2""","=""1D""","=""2""","=""3p6.3d2""","=""3P""","=""2""",M1,"=""T1610""","=""""",
V,2,"=""""","=""""","=""4002.5650""","=""0.0024""","=""""","=""3.8e-05""",C,"=""106.6421""","=""2605.0400""","=""3d4""","=""a 5D""","=""2""","=""3d3.(4F).4s""","=""a 5F""","=""1""",E2,"=""T9770""","=""""",
B,2,"=""""","=""""","=""4003.1""","=""0.4""","=""""","=""9.6e+04""",D,"=""186629.92""","=""189127.98""","=""1s2.2p.3s""","=""1P*""","=""1""","=""1s2.2p.3p""","=""1P""","=""1""",,"=""u27""","=""""",
He,1,"=""""","=""""","=""4003.234352""","=""0.000005""","=""""","=""2.005e+01""",AA,"=""[191444.4821307]""","=""[193942.462294]""","=""1s.4d""","=""3D""","=""2""","=""1s.5p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""4003.363396""","=""0.000005""","=""""","=""""",,"=""[191434.3323894]""","=""[193932.232033]""","=""1s.4d""","=""3D""","=""2""","=""1s.5p""","=""1P*""","=""1""",,"=""""","=""""",
Cu,1,"=""4003.563""","=""0.003""","=""4003.564""","=""0.003""","=""377000""","=""""",,"=""55426.3543""","=""57924.129""","=""3d10.4f""","=""2F*""","=""7/2""","=""3d10.5g""","=""2G""","=""9/2""",,"=""""","=""L18039""",
198Hg,1,"=""4005.04""","=""0.08""","=""4005.04""","=""0.08""","=""700""","=""""",,"=""77286.9746""","=""79783.83""","=""5d10.6s.5f""","=""3F*""","=""4""","=""5d10.6s.5g""","=""3G""","=""5""",,"=""""","=""L7443""",
Xe,1,"=""4005.05""","=""0.40""","=""4004.68+""","=""0.16""","=""1*""","=""""",,"=""94134.53""","=""96631.610""","=""5p5.(2P*<3/2>).9p""","=""2[5/2]""","=""3""","=""5p5.(2P*<3/2>).12d""","=""2[7/2]*""","=""3""",,"=""""","=""L1975""",
Xe,1,"=""4005.05""","=""0.40""","=""4004.3+""","=""1.6""","=""1*""","=""""",,"=""94228.004""","=""96725.3""","=""5p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).10f""","=""2[3/2]""","=""2""",,"=""""","=""L1975""",
Th,1,"=""4005.0517""","=""0.0014""","=""4005.05305""","=""0.00014""","=""3""","=""""",,"=""21902.26981""","=""24399.11564""","=""5f.6d2.7s""","=""3H*""","=""4""","=""5f.6d.7s.7p""","=""5H""","=""3""",,"=""""","=""L9974""",
Cr,1,"=""4005.727""","=""0.003""","=""4005.7247""","=""0.0010""","=""28""","=""""",,"=""24299.8419""","=""26796.2691""","=""3d5.(4D).4s""","=""b 5D""","=""2""","=""3d5.(6S).4p""","=""z 5P*""","=""2""",,"=""""","=""L14866""",
He,1,"=""""","=""""","=""4006.399737""","=""0.000005""","=""""","=""1.6330e+05""",AAA,"=""[191446.4557405]""","=""[193942.462294]""","=""1s.4d""","=""1D""","=""2""","=""1s.5p""","=""1P*""","=""1""",,"=""T8636c73""","=""""",
3He,1,"=""""","=""""","=""4006.526333""","=""0.000005""","=""""","=""""",,"=""[191436.3043465]""","=""[193932.232033]""","=""1s.4d""","=""1D""","=""2""","=""1s.5p""","=""1P*""","=""1""",,"=""""","=""""",
Li,2,"=""""","=""""","=""4006.83""","=""0.10""","=""""","=""2.6724e-03""",AAA,"=""558777.88""","=""561273.62""","=""1s.3s""","=""1S""","=""0""","=""1s.3d""","=""1D""","=""2""",E2,"=""T7378""","=""""",
Xe,1,"=""4007.069""","=""0.100""","=""4006.88+""","=""0.16""","=""30*""","=""""",,"=""90944.050""","=""93439.76""","=""5p5.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","=""5p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""",,"=""""","=""L234""",
Xe,1,"=""4007.069""","=""0.100""","=""4007.01+""","=""0.16""","=""30*""","=""""",,"=""90944.133""","=""93439.76""","=""5p5.(2P*<3/2>).4f""","=""2[7/2]""","=""4""","=""5p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""4""",,"=""""","=""L234""",
Ne,1,"=""4007.4299""","=""0.0004""","=""4007.4282""","=""0.0023""","=""280""","=""""",,"=""167047.6082""","=""169542.9742""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[7/2]""","=""3""",,"=""""","=""L9097""",
Cu,1,"=""4008.322""","=""0.003""","=""4008.323""","=""0.003""","=""298000""","=""""",,"=""55429.3199""","=""57924.129""","=""3d10.4f""","=""2F*""","=""5/2""","=""3d10.5g""","=""2G""","=""7/2""",,"=""""","=""L18039""",
Fe,2,"=""4008.518""","=""0.004""","=""4008.5157""","=""0.0011""","=""0.28""","=""""",,"=""105234.246""","=""107728.935""","=""3d6.(3P2).4d""","=""4P""","=""5/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""2D*""","=""5/2""",,"=""""","=""L18349c139""",
C,1,"=""4009.0671""","=""0.0024""","=""4009.0656""","=""0.0013""","=""2500""","=""8.1e+05""",B,"=""81325.81077""","=""83820.1576""","=""2s2.2p.4p""","=""3P""","=""1""","=""2s2.2p.4d""","=""3D*""","=""1""",,"=""T6070n""","=""L12175c183""",
Ne,1,"=""4009.1275""","=""0.0004""","=""4009.1283""","=""0.0023""","=""390""","=""""",,"=""167048.6694""","=""169542.9772""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""3""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[7/2]""","=""4""",,"=""""","=""L9097""",
C,1,"=""4009.593""","=""0.004""","=""4009.5942""","=""0.0006""","=""1800""","=""3.1e+05""",B,"=""81344.05485""","=""83838.0728""","=""2s2.2p.4p""","=""3P""","=""2""","=""2s2.2p.4d""","=""3D*""","=""2""",,"=""T6070n""","=""L12175c183""",
Cl,1,"=""4009.64""","=""0.10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
Cl,1,"=""4010.04""","=""0.10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
C,1,"=""4010.1976""","=""0.0018""","=""4010.1977""","=""0.0003""","=""4200""","=""1.31e+05""",B,"=""78307.64625""","=""80801.28887""","=""2s2.2p.3d""","=""3D*""","=""2""","=""2s2.2p.4p""","=""3D""","=""2""",,"=""T6070n""","=""L12175c183""",
Cr,1,"=""4012.254""","=""0.003""","=""4012.2508""","=""0.0008""","=""54""","=""""",,"=""24303.9025""","=""26796.2691""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d5.(6S).4p""","=""z 5P*""","=""2""",,"=""""","=""L14866""",
Mg,1,"=""""","=""""","=""4012.7""","=""1.0""","=""""","=""1.49e+05""",C,"=""57214.992""","=""59707.11""","=""3s.6p""","=""1P*""","=""1""","=""3s.9s""","=""1S""","=""0""",,"=""T6298c72""","=""""",
Ne,1,"=""4013.8549""","=""0.0005""","=""4013.8539""","=""0.0023""","=""65""","=""""",,"=""167047.6082""","=""169538.9794""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[5/2]""","=""2""",,"=""""","=""L9097""",
Ne,1,"=""4015.5856""","=""0.0004""","=""4015.5846""","=""0.0023""","=""97""","=""""",,"=""167048.6694""","=""169538.9668""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""3""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[5/2]""","=""3""",,"=""""","=""L9097""",
Si,1,"=""""","=""""","=""4015.7""","=""1.0""","=""""","=""8.81e+05""",C+,"=""56700.25""","=""59190.46""","=""3s2.3p.4d""","=""3P*""","=""1""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",,"=""T6066LS'""","=""""",
Fe,2,"=""4015.8710""","=""0.0013""","=""4015.8707""","=""0.0008""","=""0.12""","=""""",,"=""105238.815""","=""107728.935""","=""3d6.(3P2).4d""","=""2D""","=""5/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""2D*""","=""5/2""",,"=""""","=""L18349c139""",
K,1,"=""4016.932""","=""0.010""","=""4016.94""","=""0.08""","=""*""","=""""",,"=""28127.85""","=""30617.31""","=""3p6.4f""","=""2F*""","=""5/2""","=""3p6.5g""","=""2G""","=""7/2""",,"=""""","=""L873""",
K,1,"=""4016.932""","=""0.010""","=""4016.94""","=""0.08""","=""*""","=""""",,"=""28127.85""","=""30617.31""","=""3p6.4f""","=""2F*""","=""7/2""","=""3p6.5g""","=""2G""","=""9/2""",,"=""""","=""L873""",
Si,1,"=""""","=""""","=""4017.2""","=""1.0""","=""""","=""5.17e+05""",C+,"=""54528.220""","=""57017.496""","=""3s2.3p.5s""","=""3P*""","=""2""","=""3s2.3p.5p""","=""3D""","=""2""",,"=""T6066LS""","=""""",
C,1,"=""4017.780""","=""0.003""","=""4017.7802""","=""0.0005""","=""2600""","=""1.26e+05""",B,"=""78293.51263""","=""80782.44916""","=""2s2.2p.3d""","=""3D*""","=""1""","=""2s2.2p.4p""","=""3D""","=""1""",,"=""T6070n""","=""L12175c183""",
Si,1,"=""""","=""""","=""4017.9""","=""1.0""","=""""","=""3.97e+05""",D,"=""57017.496""","=""59506.359""","=""3s2.3p.5p""","=""3D""","=""2""","=""3s2.3p.(2P*<3/2>).6s<1/2>""","=""(3/2,1/2)*""","=""2""",,"=""T6066LS'""","=""""",
F,5,"=""""","=""""","=""4018""","=""23""","=""""","=""7.9e+03""",B,"=""744036.""","=""746525.""","=""2s2.4d""","=""2D""","=""5/2""","=""2s2.4f""","=""2F*""","=""5/2""",,"=""T7192c91,LS""","=""""",
F,5,"=""""","=""""","=""4018""","=""23""","=""""","=""1.19e+05""",B,"=""744036.""","=""746525.""","=""2s2.4d""","=""2D""","=""5/2""","=""2s2.4f""","=""2F*""","=""7/2""",,"=""T7192c91,LS""","=""""",
Th,1,"=""4018.1164""","=""0.0011""","=""4018.11567""","=""0.00015""","=""11""","=""""",,"=""17224.302340""","=""19713.03109""","=""6d2.7s.7p""","=""5F*""","=""2""","=""6d3.(2F).7s""","=""3F""","=""3""",,"=""""","=""L9974""",
Cl,1,"=""4018.20""","=""0.10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
Cr,5,"=""""","=""""","=""4018.3""","=""1.0""","=""""","=""9.2e-03""",E,"=""13188.0""","=""15676.6""","=""3p6.3d2""","=""1D""","=""2""","=""3p6.3d2""","=""3P""","=""1""",M1,"=""T1610""","=""""",
Al,2,"=""""","=""""","=""4018.34""","=""0.10""","=""""","=""1.96e+05""",C,"=""144782.23""","=""147270.82""","=""3s.8d""","=""1D""","=""2""","=""3s.11p""","=""1P*""","=""1""",,"=""T6298c4""","=""""",
Kr,1,"=""4018.651""","=""0.010""","=""4018.59+""","=""0.16""","=""25""","=""""",,"=""106020.843""","=""108509.28""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""3""",,"=""""","=""L234""",
Fe,2,"=""4018.7751""","=""0.0003""","=""4018.7741""","=""0.0015""","=""0.7""","=""""",,"=""104120.244""","=""106608.565""","=""3d6.(5D).5d""","=""6P""","=""5/2""","=""3d6.(5D).6p""","=""6D*""","=""7/2""",,"=""""","=""L18349c148""",
Cr,1,"=""4019.907""","=""0.016""","=""4019.9032""","=""0.0010""","=""2""","=""""",,"=""24299.8419""","=""26787.4640""","=""3d5.(4D).4s""","=""b 5D""","=""2""","=""3d5.(6S).4p""","=""z 5P*""","=""3""",,"=""""","=""L14866""",
Kr,1,"=""4019.998""","=""0.010""","=""4019.82+""","=""0.16""","=""15*""","=""""",,"=""106021.607""","=""108509.28""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""3""",,"=""""","=""L234""",
Kr,1,"=""4019.998""","=""0.010""","=""4019.82+""","=""0.16""","=""15*""","=""""",,"=""106021.607""","=""108509.28""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""2""",,"=""""","=""L234""",
Xe,1,"=""4020.7116""","=""0.1000""","=""4020.724+""","=""0.023""","=""33""","=""5.9e+04""",D+,"=""85440.017""","=""87927.131""","=""5p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""1""",,"=""T8608""","=""L234""",
H,1,"=""""","=""""","=""4020.871""","=""0.004""","=""(200)""","=""5.5265e+03""",AAA,"=""106632.1681""","=""[109119.1917]""","=""6""","=""""","=""""","=""14""","=""""","=""""",,"=""T8637""","=""""",
Fe,2,"=""4020.8720""","=""0.0006""","=""4020.8732""","=""0.0008""","=""0.27""","=""""",,"=""105460.233""","=""107947.255""","=""3d6.(3F2).4d""","=""4D""","=""3/2""","=""3d6.(5D).6p""","=""4P*""","=""3/2""",,"=""""","=""L18349c139""",
S,1,"=""""","=""""","=""4022.70+""","=""0.23""","=""""","=""3.67e+02""",E,"=""79142.81""","=""81628.70""","=""3s2.3p3.(4S*).5f""","=""5F""","=""3""","=""3s2.3p3.(4S*).8d""","=""5D*""","=""4""",,"=""T7952""","=""""",
S,1,"=""""","=""""","=""4022.70+""","=""0.23""","=""""","=""4.04e+04""",D+,"=""79142.81""","=""81628.70""","=""3s2.3p3.(4S*).5f""","=""5F""","=""5""","=""3s2.3p3.(4S*).8d""","=""5D*""","=""4""",,"=""T7952""","=""""",
S,1,"=""""","=""""","=""4022.70+""","=""0.23""","=""""","=""5.50e+03""",D,"=""79142.81""","=""81628.70""","=""3s2.3p3.(4S*).5f""","=""5F""","=""4""","=""3s2.3p3.(4S*).8d""","=""5D*""","=""4""",,"=""T7952""","=""""",
Mg,1,"=""""","=""""","=""4022.8""","=""1.0""","=""""","=""4.13e+04""",C,"=""57204.163""","=""59689.991""","=""3s.5f""","=""1F*""","=""3""","=""3s.8d""","=""1D""","=""2""",,"=""T6298c72""","=""""",
Ar,2,"=""4023.896""","=""0.004""","=""4023.9062""","=""0.0006""","=""3""","=""""",,"=""199982.0244""","=""202467.1718""","=""3s2.3p4.(1D).4d""","=""2D""","=""3/2""","=""3s2.3p4.(3P).6p""","=""4D*""","=""3/2""",,"=""""","=""L11520""",
C,1,"=""4023.899""","=""0.006""","=""4023.9102""","=""0.0016""","=""1600*""","=""4.6e+05""",D+,"=""84013.27526""","=""86498.4202""","=""2s2.2p.(2P*<3/2>).4f""","=""2[5/2]""","=""3""","=""2s2.2p.(2P*<3/2>).5g""","=""2[5/2]*""","=""3""",,"=""T9787""","=""L12175c183""",
C,1,"=""4023.899""","=""0.006""","=""4023.9115""","=""0.0016""","=""1600*""","=""3.2e+04""",D,"=""84013.27526""","=""86498.4194""","=""2s2.2p.(2P*<3/2>).4f""","=""2[5/2]""","=""3""","=""2s2.2p.(2P*<3/2>).5g""","=""2[5/2]*""","=""2""",,"=""T9787""","=""L12175c183""",
I,1,"=""4024.025""","=""""","=""4024.025""","=""0.011""","=""16:""","=""""",,"=""74965.635""","=""77450.709""","=""5s2.5p4.(3P<2>).7p""","=""2[2]*""","=""5/2""","=""5s2.5p4.(3P<2>).8s""","=""2[2]""","=""5/2""",,"=""""","=""L1505""",
C,1,"=""4024.180""","=""0.010""","=""4024.1638""","=""0.0016""","=""1300""","=""4.6e+05""",D+,"=""84013.4311""","=""86498.4194""","=""2s2.2p.(2P*<3/2>).4f""","=""2[5/2]""","=""2""","=""2s2.2p.(2P*<3/2>).5g""","=""2[5/2]*""","=""2""",,"=""T9787""","=""L12175c183""",
N,1,"=""""","=""""","=""4024.836""","=""0.010""","=""""","=""8.52e+05""",C,"=""105143.710""","=""107628.283""","=""2s2.2p2.(3P).3d""","=""2D""","=""5/2""","=""2s2.2p2.(3P).4p""","=""2P*""","=""3/2""",,"=""u18,LS""","=""""",
Th,2,"=""4025.2023""","=""0.0015""","=""4025.2010""","=""0.0004""","=""3""","=""""",,"=""15242.89888""","=""17727.24685""","=""5f.(2F*).6d2.(3F)""","=""4H*""","=""9/2""","=""6d3""","=""2H""","=""11/2""",,"=""""","=""L9974""",
Ne,1,"=""4025.4424""","=""0.0004""","=""4025.4437""","=""0.0023""","=""350""","=""""",,"=""167052.6415""","=""169536.8397""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""2""",,"=""""","=""L9097""",
Ne,1,"=""4025.4792""","=""0.0004""","=""4025.4781""","=""0.0023""","=""540""","=""""",,"=""167052.6654""","=""169536.8424""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[5/2]*""","=""3""",,"=""""","=""L9097""",
Fe,1,"=""4026.338""","=""0.005""","=""4026.342""","=""0.005""","=""2820""","=""""",,"=""54404.779""","=""56888.423""","=""3d6.(5D).4s (6D).6s""","=""g 7D""","=""3""","=""3d6.4s.(6D).6p""","=""7P*""","=""3""",,"=""""","=""L11631""",
Cr,1,"=""4026.477""","=""0.005""","=""4026.4757""","=""0.0008""","=""19""","=""""",,"=""24303.9025""","=""26787.4640""","=""3d5.(4D).4s""","=""b 5D""","=""3""","=""3d5.(6S).4p""","=""z 5P*""","=""3""",,"=""""","=""L14866""",
C,1,"=""""","=""""","=""4027.34916""","=""0.00024""","=""""","=""2.2e+01""",C,"=""78318.26602""","=""80801.28887""","=""2s2.2p.3d""","=""3D*""","=""3""","=""2s2.2p.4p""","=""3D""","=""2""",,"=""T6070n""","=""""",
Ne,1,"=""4027.6140""","=""0.0019""","=""4027.6148""","=""0.0023""","=""3""","=""""",,"=""167047.6082""","=""169530.4673""","=""2s2.2p5.(2P*<3/2>).4d""","=""2[5/2]*""","=""2""","=""2s2.2p5.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",,"=""""","=""L9097""",
Th,1,"=""4028.0835""","=""0.0015""","=""4028.08404""","=""0.00010""","=""3""","=""""",,"=""24561.65178""","=""27044.22163""","=""""","=""*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L9974""",
Th,1,"=""4028.7806""","=""0.0018""","=""4028.77937""","=""0.00006""","=""1""","=""""",,"=""16217.482038""","=""18699.62342""","=""6d.7s2.7p""","=""1D*""","=""2""","=""5f.7s2.7p""","=""3F""","=""2""",,"=""""","=""L9974""",
Ne,1,"=""4029.1835""","=""0.0004""","=""4029.1835""","=""0.0023""","=""140*""","=""""",,"=""167060.3115""","=""169542.2039""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""5""",,"=""""","=""L9097""",
Ne,1,"=""4029.1835""","=""0.0004""","=""4029.1827""","=""0.0023""","=""140*""","=""""",,"=""167060.3044""","=""169542.1973""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[9/2]""","=""4""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""4""",,"=""""","=""L9097""",
Fe,2,"=""4029.5820""","=""0.0016""","=""4029.5820""","=""0.0015""","=""0.19""","=""5.7e+04""",B+,"=""88157.176""","=""90638.823""","=""3d6.(5D).4d""","=""4P""","=""3/2""","=""3d6.(5D).5p""","=""4D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
Na,2,"=""""","=""""","=""4030.08""","=""0.23""","=""""","=""1.19e-02""",C,"=""266281.62""","=""268762.96""","=""2s2.2p5.3s""","=""3P*""","=""0""","=""2s2.2p5.3s""","=""1P*""","=""1""",M1,"=""T7663""","=""""",
Na,7,"=""""","=""""","=""4030""","=""230""","=""""","=""4.56e+04""",B+,"=""1593920""","=""1596400""","=""2s.2p.(3P*).5d""","=""2F*""","=""7/2""","=""2s2.8d""","=""2D""","=""5/2""",,"=""T7192c3,LS""","=""""",
Li,1,"=""""","=""""","=""4030.4""","=""1.0""","=""""","=""2.41e+06""",B',"=""36623.38""","=""39104.5""","=""1s2.4d""","=""2D""","=""3/2""","=""1s2.5f""","=""2F*""","=""5/2""",,"=""T1115CA""","=""""",
Li,1,"=""""","=""""","=""4030.5""","=""1.0""","=""""","=""2.58e+06""",B',"=""36623.40""","=""39104.5""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.5f""","=""2F*""","=""7/2""",,"=""T1115CA""","=""""",
Li,1,"=""""","=""""","=""4030.5""","=""1.0""","=""""","=""1.72e+05""",B',"=""36623.40""","=""39104.5""","=""1s2.4d""","=""2D""","=""5/2""","=""1s2.5f""","=""2F*""","=""5/2""",,"=""T1115CA""","=""""",
N,1,"=""""","=""""","=""4030.569""","=""0.010""","=""""","=""3.02e+05""",D+,"=""107445.622""","=""109926.661""","=""2s2.2p2.(3P).4p""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).5s""","=""4P""","=""5/2""",,"=""T5723LS""","=""""",
Th,1,"=""4030.8058""","=""0.0021""","=""4030.80459""","=""0.00019""","=""0""","=""""",,"=""25877.50128""","=""28358.39555""","=""""","=""*""","=""4""","=""""","=""""","=""3""",,"=""""","=""L9974""",
Ne,1,"=""4031.4409""","=""0.0015""","=""4031.4375""","=""0.0023""","=""6*""","=""""",,"=""167060.3044""","=""169540.8092""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[9/2]""","=""4""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""3""",,"=""""","=""L9097""",
Ne,1,"=""4031.4409""","=""0.0015""","=""4031.4422""","=""0.0023""","=""6*""","=""""",,"=""167060.3115""","=""169540.8134""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[7/2]*""","=""4""",,"=""""","=""L9097""",
Kr,1,"=""4031.710""","=""0.010""","=""4031.74+""","=""0.23""","=""1300*""","=""""",,"=""106047.39""","=""108527.71""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[7/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""4""",,"=""""","=""L234""",
Kr,1,"=""4031.710""","=""0.010""","=""4031.74+""","=""0.23""","=""1300*""","=""""",,"=""106047.39""","=""108527.71""","=""4s2.4p5.(2P*<3/2>).4f""","=""2[7/2]""","=""4""","=""4s2.4p5.(2P*<3/2>).5g""","=""2[9/2]*""","=""5""",,"=""""","=""L234""",
Si,10,"=""""","=""""","=""4032""","=""230""","=""""","=""1.15e-08""",D+,"=""161010+x""","=""163490+x""","=""2s.2p2""","=""4P""","=""1/2""","=""2s.2p2""","=""4P""","=""3/2""",E2,"=""T7194c7""","=""""",
Si,10,"=""""","=""""","=""4032""","=""230""","=""""","=""3.43e-01""",B,"=""161010+x""","=""163490+x""","=""2s.2p2""","=""4P""","=""1/2""","=""2s.2p2""","=""4P""","=""3/2""",M1,"=""T7194c7""","=""""",
Cl,1,"=""4032.13""","=""0.10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
Si,1,"=""""","=""""","=""4032.6""","=""1.0""","=""""","=""5.84e+02""",C,"=""48020.074""","=""50499.838""","=""3s2.3p.4p""","=""3D""","=""1""","=""3s2.3p.3d""","=""3P*""","=""2""",,"=""T8363c22""","=""""",
C,1,"=""4033.9234""","=""0.0003""","=""4033.9234""","=""0.0003""","=""22000""","=""4.2e+06""",B,"=""84015.87795""","=""86494.85415""","=""2s2.2p.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","=""2s2.2p.(2P*<3/2>).5g""","=""2[11/2]*""","=""6""",,"=""T9787""","=""L12175c183""",
C,1,"=""4034.5749""","=""0.0005""","=""4034.5749""","=""0.0005""","=""15000""","=""4.2e+06""",B,"=""84016.2748""","=""86494.8507""","=""2s2.2p.(2P*<3/2>).4f""","=""2[9/2]""","=""4""","=""2s2.2p.(2P*<3/2>).5g""","=""2[11/2]*""","=""5""",,"=""T9787""","=""L12175c183""",
Cl,1,"=""4034.64""","=""0.10""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
V,2,"=""""","=""""","=""4034.8304""","=""0.0020""","=""""","=""2.3e-05""",C,"=""208.7901""","=""2687.2090""","=""3d4""","=""a 5D""","=""3""","=""3d3.(4F).4s""","=""a 5F""","=""2""",E2,"=""T9770""","=""""",
N,2,"=""""","=""""","=""4035.12""","=""0.10""","=""""","=""9.19e+04""",C+,"=""211779.45""","=""214257.69""","=""2s.2p2.(4P).3s""","=""3P""","=""1""","=""2s2.2p.5s""","=""3P*""","=""1""",,"=""T5520LS""","=""""",
Ne,1,"=""4035.6667""","=""0.0004""","=""4035.6667""","=""0.0023""","=""1900*""","=""""",,"=""167060.3115""","=""169538.2168""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[9/2]""","=""5""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[11/2]*""","=""6""",,"=""""","=""L9097""",
Ne,1,"=""4035.6667""","=""0.0004""","=""4035.6667""","=""0.0023""","=""1900*""","=""""",,"=""167060.3044""","=""169538.2097""","=""2s2.2p5.(2P*<3/2>).4f""","=""2[9/2]""","=""4""","=""2s2.2p5.(2P*<3/2>).5g""","=""2[11/2]*""","=""5""",,"=""""","=""L9097""",
Th,1,"=""4036.3670""","=""0.0013""","=""4036.3663""","=""0.0005""","=""5""","=""""",,"=""17354.638583""","=""19832.1144""","=""5f.6d.7s2""","=""3D*""","=""1""","=""""","=""""","=""1""",,"=""""","=""L9974""",
